ID,Task Name,Bucket Name,Phase,Progress,Priority,Notes
ST-062,ST-062 Research Ejnar Hertzsprung.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-063,ST-063 Research Henry Norris Russell.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-064,ST-064 Document diagram axes and scales.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-065,ST-065 Research luminosity trends.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-066,ST-066 Research temperature trends.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-067,ST-067 Document main sequence structure.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-068,ST-068 Research giant branch populations.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-069,ST-069 Document supergiant regions.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-070,ST-070 Document white dwarf regions.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-071,ST-071 Research stellar evolution paths on the H-R Diagram.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-072,ST-072 Research birth-line relationships.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-073,ST-073 Research pre-main-sequence tracks.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-074,ST-074 Research red giant branch movement.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-075,ST-075 Research asymptotic giant branch movement.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-076,ST-076 Research post-main-sequence pathways.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-077,ST-077 Build educational H-R explanations.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-078,ST-078 Build H-R knowledge graph relationships.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-079,ST-079 Create classroom-level H-R summary.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-080,ST-080 Produce H-R Dataset v1.,STA · D — H-R diagram research,STA — Stellar Foundations,Not started,Medium,
ST-081,ST-081 Research the definition of a main-sequence star.,STA · E — Main sequence stars,STA — Stellar Foundations,Not started,Medium,
ST-082,ST-082 Document hydrogen-burning equilibrium.,STA · E — Main sequence stars,STA — Stellar Foundations,Not started,Medium,
ST-083,ST-083 Research stellar lifetimes across masses.,STA · E — Main sequence stars,STA — Stellar Foundations,Not started,Medium,
ST-084,ST-084 Research low-mass stellar evolution.,STA · E — Main sequence stars,STA — Stellar Foundations,Not started,Medium,
ST-085,ST-085 Research medium-mass stellar evolution.,STA · E — Main sequence stars,STA — Stellar Foundations,Not started,Medium,
ST-101,ST-101 Research the Sun as a G-type main-sequence star.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-102,ST-102 Document solar formation history.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-103,ST-103 Research solar age estimates.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-104,ST-104 Document solar structure layers.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-105,ST-105 Research the solar core.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-106,ST-106 Document radiative zone properties.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-107,ST-107 Document convective zone properties.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-108,ST-108 Research photosphere characteristics.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-109,ST-109 Research chromosphere characteristics.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-110,ST-110 Research corona characteristics.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-111,ST-111 Document solar magnetic activity.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-112,ST-112 Research sunspot cycles.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-113,ST-113 Research solar prominences.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-114,ST-114 Research solar flares.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-115,ST-115 Research coronal mass ejections.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-116,ST-116 Document solar wind physics.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-117,ST-117 Research heliosphere structure.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-118,ST-118 Create educational Sun profile.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-119,ST-119 Build Sun knowledge graph entity.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-120,ST-120 Produce Solar Reference Package v1.,STB · F — The Sun,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-121,ST-121 Research the Alpha Centauri system.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-122,ST-122 Document Alpha Centauri A.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-123,ST-123 Document Alpha Centauri B.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-124,ST-124 Research Proxima Centauri.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-125,ST-125 Document Proxima Centauri b.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-126,ST-126 Research Barnard's Star.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-127,ST-127 Document Wolf 359.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-128,ST-128 Research Lalande 21185.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-129,ST-129 Document Sirius system overview.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-130,ST-130 Research Sirius A.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-131,ST-131 Research Sirius B.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-132,ST-132 Document Epsilon Eridani.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-133,ST-133 Research Tau Ceti.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-134,ST-134 Document Luyten's Star.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-135,ST-135 Research Ross 128.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-136,ST-136 Document Teegarden's Star.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-137,ST-137 Create Near Stars comparison matrix.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-138,ST-138 Build stellar neighborhood relationships.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-139,ST-139 Create educational nearby-stars narrative.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-140,ST-140 Produce Nearby Stellar Systems Dataset v1.,STB · G — Closest stellar systems,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-141,ST-141 Research Sirius.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-142,ST-142 Research Canopus.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-143,ST-143 Research Arcturus.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-144,ST-144 Research Alpha Centauri.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-145,ST-145 Research Vega.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-146,ST-146 Research Capella.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-147,ST-147 Research Rigel.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-148,ST-148 Research Procyon.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-149,ST-149 Research Achernar.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-150,ST-150 Research Betelgeuse.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-151,ST-151 Research Hadar.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-152,ST-152 Research Altair.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-153,ST-153 Research Acrux.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-154,ST-154 Research Aldebaran.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-155,ST-155 Research Antares.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-156,ST-156 Create brightest stars ranking dataset.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-157,ST-157 Build naked-eye observation guide.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-158,ST-158 Map visible-sky brightness categories.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-159,ST-159 Create educational brightest-stars timeline.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-160,ST-160 Produce Bright Stars Reference Package v1.,STB · H — Brightest stars in Earth's sky,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-161,ST-161 Research Polaris.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-162,ST-162 Document Polaris history.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-163,ST-163 Research Polaris system structure.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-164,ST-164 Research Vega as a former pole star.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-165,ST-165 Research Thuban as a former pole star.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-166,ST-166 Document celestial pole mechanics.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-167,ST-167 Research Earth's axial precession.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-168,ST-168 Research Altair navigation history.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-169,ST-169 Research Deneb navigation history.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-170,ST-170 Research Vega navigation history.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-171,ST-171 Research Fomalhaut.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-172,ST-172 Research Regulus.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-173,ST-173 Research Spica.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-174,ST-174 Research navigation stars used in maritime astronomy.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-175,ST-175 Document celestial navigation basics.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-176,ST-176 Build navigation-star education content.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-177,ST-177 Build navigation-star knowledge graph.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-178,ST-178 Create pole-star chronology dataset.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-179,ST-179 Create navigation narrative package.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-180,ST-180 Produce Celestial Navigation Dataset v1.,STB · I — Navigation stars,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-181,ST-181 Research Betelgeuse.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-182,ST-182 Document Betelgeuse variability.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-183,ST-183 Research Betelgeuse future supernova potential.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-184,ST-184 Research Rigel.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-185,ST-185 Research Deneb.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-186,ST-186 Research Antares.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-187,ST-187 Research Mu Cephei.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-188,ST-188 Research VY Canis Majoris.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-189,ST-189 Research UY Scuti.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-190,ST-190 Research Eta Carinae.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-191,ST-191 Document Eta Carinae eruptions.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-192,ST-192 Research P Cygni.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-193,ST-193 Research R136a1.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-194,ST-194 Document known stellar size extremes.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-195,ST-195 Research known stellar mass extremes.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-196,ST-196 Research known stellar luminosity extremes.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-197,ST-197 Create giant-star comparison matrix.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-198,ST-198 Build stellar-extremes knowledge graph.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-199,ST-199 Create giant-star educational narrative.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-200,ST-200 Produce Stellar Extremes Reference Package v1.,STB · J — Famous stellar giants & supergiants,STB — Major Stars & Stellar Systems,Not started,Medium,
ST-201,ST-201 Research Andromeda.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-202,ST-202 Research Antlia.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-203,ST-203 Research Apus.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-204,ST-204 Research Aquarius.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-205,ST-205 Research Aquila.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-206,ST-206 Research Ara.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-207,ST-207 Research Aries.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-208,ST-208 Research Auriga.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-209,ST-209 Research Boötes.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-210,ST-210 Research Caelum.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-211,ST-211 Research Camelopardalis.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-212,ST-212 Research Cancer.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-213,ST-213 Research Canes Venatici.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-214,ST-214 Research Canis Major.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-215,ST-215 Research Canis Minor.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-216,ST-216 Research Capricornus.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-217,ST-217 Research Carina.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-218,ST-218 Research Cassiopeia.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-219,ST-219 Research Centaurus.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-220,ST-220 Research Cepheus.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-221,ST-221 Research Cetus.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-222,ST-222 Research Chamaeleon.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-223,ST-223 Research Circinus.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-224,ST-224 Research Columba.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-225,ST-225 Produce Constellation Dataset Batch 1.,STC · K — Alphabetical Batch I,STC — The 88 IAU Constellations,Not started,Medium,
ST-226,ST-226 Research Coma Berenices.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-227,ST-227 Research Corona Australis.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-228,ST-228 Research Corona Borealis.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-229,ST-229 Research Corvus.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-230,ST-230 Research Crater.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-231,ST-231 Research Crux.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-232,ST-232 Research Cygnus.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-233,ST-233 Research Delphinus.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-234,ST-234 Research Dorado.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-235,ST-235 Research Draco.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-236,ST-236 Research Equuleus.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-237,ST-237 Research Eridanus.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-238,ST-238 Research Fornax.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-239,ST-239 Research Gemini.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-240,ST-240 Research Grus.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-241,ST-241 Research Hercules.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-242,ST-242 Research Horologium.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-243,ST-243 Research Hydra.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-244,ST-244 Research Hydrus.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-245,ST-245 Research Indus.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-246,ST-246 Research Lacerta.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-247,ST-247 Research Leo.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
ST-248,ST-248 Research Leo Minor.,STC · L — Alphabetical Batch II,STC — The 88 IAU Constellations,Not started,Medium,
